	code	eps_x	eps_yoy	bvps	roe_x	epcf	net_profits_x	profits_yoy	distrib	report_date	roe_y	net_profit_ratio	gross_profit_rate	net_profits_y	eps_y	business_income	bips	arturnover	arturndays	inventory_turnover	inventory_days	currentasset_turnover	currentasset_days	mbrg	nprg	nav	targ	epsg	seg	currentratio	quickratio	cashratio	icratio	sheqratio	adratio	cf_sales	rateofreturn	cf_nm	cf_liabilities	cashflowratio
0	603277	0.35	-5.41	NaN	NaN	NaN	11552.93	-6.14	NaN	09-08	15.74	17.42	46.0259	115.5293	0.345	662.9016	1.9799	7.2056	24.9806	1.2842	140.1651	1.0515	171.184	18.9264	-6.1433	40.2456	30.7861	-5.4054	40.2456	2.4192	1.3157	57.7802	2522.0687	70.6236	29.3764	0.0837	0.0534	0.4802	0.1817	20.0717
1	603183	0.39	5.41	NaN	7.51	NaN	2551.16	4.96	NaN	09-04	7.41	12.69	46.0002	25.5116	0.3865	200.9204	3.0442	1.1151	161.4205	1.6601	108.4272	0.5932	303.439	3.9426	4.9563	NaN	NaN	5.4054	NaN	2.0893	1.6771	14.1407	-845086.984	68.452	31.548	-0.2193	-0.0876	-1.7268	-0.2777	-28.2597
2	600004	0.55	-8.33	NaN	6.93	NaN	78090.3	12.36	NaN	08-31	5.5	24.29	39.4627	780.903	0.5471	3213.6615	2.2518	4.1724	43.1406	27.2795	6.5984	1.4313	125.7598	7.673	12.6597	36.9623	16.6421	-8.3333	38.0578	0.6006	0.5829	32.9989	-33622.5236	73.7671	26.2329	0.5003	0.083	2.0443	0.3163	40.2927
3	600004	0.55	-8.33	NaN	6.93	NaN	78090.3	12.36	NaN	08-31	5.5	24.29	39.4627	780.903	0.5471	3213.6615	2.2518	4.1724	43.1406	27.2795	6.5984	1.4313	125.7598	7.673	12.6597	36.9623	16.6421	-8.3333	38.0578	0.6006	0.5829	32.9989	-33622.5236	73.7671	26.2329	0.5003	0.083	2.0443	0.3163	40.2927
4	600120	0.58	-24.68	NaN	4.4	NaN	38280.56	-2.22	NaN	08-31	4.09	11.18	3.7361	382.8056	0.5691	3421.422	5.0868	10.5383	17.0806	1.3457	133.7594	0.4801	374.9219	30.407	-8.2371	92.3515	105.7424	-24.6753	89.3875	1.4187	1.0352	39.1154	1421.2829	55.6324	44.3676	-0.0164	-0.0031	-0.1408	-0.007	-0.8094
5	600120	0.58	-24.68	NaN	4.4	NaN	38280.56	-2.22	NaN	08-31	4.09	11.18	3.7361	382.8056	0.5691	3421.422	5.0868	10.5383	17.0806	1.3457	133.7594	0.4801	374.9219	30.407	-8.2371	92.3515	105.7424	-24.6753	89.3875	1.4187	1.0352	39.1154	1421.2829	55.6324	44.3676	-0.0164	-0.0031	-0.1408	-0.007	-0.8094
6	600515	0.27	1191.43	NaN	3.09	NaN	105962.43	11819.71	NaN	08-31	2.97	19.24	44.4934	1059.6243	0.2711	5506.9914	1.4093	2.9262	61.5132	0.1013	1776.9003	0.1038	1734.104	597.3091	13946.0841	4936.5372	2152.5708	1191.4286	3900.1495	2.2099	0.9782	77.7395	293.5722	48.667	51.333	0.4949	0.0296	2.1826	0.0577	11.1564
7	600515	0.27	1191.43	NaN	3.09	NaN	105962.43	11819.71	NaN	08-31	2.97	19.24	44.4934	1059.6243	0.2711	5506.9914	1.4093	2.9262	61.5132	0.1013	1776.9003	0.1038	1734.104	597.3091	13946.0841	4936.5372	2152.5708	1191.4286	3900.1495	2.2099	0.9782	77.7395	293.5722	48.667	51.333	0.4949	0.0296	2.1826	0.0577	11.1564
8	000837	0.01	-106.66	NaN	0.13	NaN	366.07	-106.63	NaN	08-31	0.13	0.23	16.2842	3.6607	0.0052	1580.6331	2.2796	1.9661	91.5518	0.7671	234.65	0.352	511.3636	15.4939	NaN	3.476	12.4524	-106.6583	2.7353	1.4394	0.909	35.5482	166.6187	44.2315	55.7685	-0.0161	-0.0032	-1.5183	-0.0057	-0.7869
9	000837	0.01	-106.66	NaN	0.13	NaN	366.07	-106.63	NaN	08-31	0.13	0.23	16.2842	3.6607	0.0052	1580.6331	2.2796	1.9661	91.5518	0.7671	234.65	0.352	511.3636	15.4939	NaN	3.476	12.4524	-106.6583	2.7353	1.4394	0.909	35.5482	166.6187	44.2315	55.7685	-0.0161	-0.0032	-1.5183	-0.0057	-0.7869
