date,open,high,close,low,price_change,p_change,turnover,y
2017-03-31,14.41,14.6,14.42,14.35,0.02,0.14,0.49,-0.05
2017-03-30,14.78,14.79,14.4,14.25,-0.39,-2.64,0.75,-0.05
2017-03-29,14.87,14.98,14.79,14.78,-0.11,-0.74,0.44,-0.05
2017-03-28,14.88,14.99,14.9,14.81,0.0,0.0,0.22,-0.05
2017-03-27,15.02,15.1,14.9,14.88,-0.19,-1.26,0.26,-0.05
2017-03-24,15.16,15.2,15.09,15.0,-0.1,-0.66,0.24,-0.05
2017-03-23,15.2,15.35,15.19,15.11,-0.12,-0.78,0.24,-0.05
2017-03-22,15.03,15.36,15.31,15.01,0.28,1.86,0.45,-0.05
2017-03-21,15.08,15.08,15.03,14.96,0.01,0.07,0.19,-0.05
2017-03-20,15.05,15.17,15.02,14.96,-0.06,-0.4,0.26,-0.05
2017-03-17,15.29,15.29,15.08,14.97,-0.12,-0.79,0.27,-0.05
2017-03-16,15.18,15.27,15.2,15.18,0.04,0.26,0.24,-0.05
2017-03-15,15.22,15.26,15.16,15.13,-0.06,-0.39,0.15,-0.05
2017-03-14,15.33,15.33,15.22,15.18,-0.11,-0.72,0.18,-0.05
2017-03-13,15.3,15.45,15.33,15.09,0.08,0.53,0.59,-0.05
2017-03-10,15.2,15.3,15.25,15.06,-0.03,-0.2,0.81,-0.05
2017-03-09,15.2,15.35,15.28,15.07,-0.06,-0.39,0.49,-0.05
2017-03-08,15.5,15.59,15.34,15.29,-0.35,-2.23,0.78,-0.05
2017-03-07,15.3,16.06,15.69,15.22,0.39,2.55,1.33,-0.05
2017-03-06,15.25,15.35,15.3,15.16,0.03,0.2,0.21,-0.05
2017-03-03,15.23,15.34,15.27,15.06,0.04,0.26,0.18,-0.05
2017-03-02,15.39,15.45,15.23,15.2,-0.26,-1.68,0.24,-0.05
2017-03-01,15.44,15.52,15.49,15.25,0.0,0.0,0.51,-0.05
2017-02-28,15.31,15.5,15.49,15.2,0.16,1.04,0.31,-0.05
2017-02-27,15.65,15.65,15.33,15.29,-0.19,-1.22,0.35,-0.05
2017-02-24,15.71,15.91,15.52,15.39,-0.2,-1.27,0.55,-0.05
2017-02-23,15.74,15.92,15.72,15.56,-0.02,-0.13,0.58,-0.05
2017-02-22,15.53,15.85,15.74,15.53,0.13,0.83,1.06,-0.05
2017-02-21,15.36,15.68,15.61,15.26,0.23,1.5,0.69,-0.05
2017-02-20,15.07,15.49,15.38,15.05,0.33,2.19,0.65,-0.05
2017-02-17,15.55,15.55,15.05,15.03,-0.48,-3.09,0.43,-0.05
2017-02-16,15.37,15.79,15.53,15.37,0.19,1.24,0.59,-0.05
2017-02-15,15.35,15.36,15.34,15.16,0.04,0.26,0.24,-0.05
2017-02-14,15.31,15.4,15.3,15.21,0.01,0.07,0.17,-0.05
2017-02-13,15.35,15.38,15.29,15.16,-0.09,-0.58,0.2,-0.05
2017-02-10,15.36,15.5,15.38,15.21,-0.02,-0.13,0.36,-0.05
2017-02-09,15.38,15.5,15.4,15.28,0.02,0.13,0.3,-0.05
2017-02-08,15.27,15.46,15.38,15.21,-0.01,-0.07,0.28,-0.05
2017-02-07,15.29,15.45,15.39,15.15,0.11,0.72,0.39,-0.05
2017-02-06,15.0,15.4,15.28,14.95,0.17,1.12,0.35,-0.05
2017-02-03,15.0,15.15,15.11,14.91,0.04,0.27,0.16,-0.05
2017-01-26,15.18,15.28,15.07,14.99,-0.11,-0.72,0.16,-0.05
2017-01-25,14.77,15.3,15.18,14.72,0.39,2.64,0.69,-0.05
2017-01-24,15.06,15.06,14.79,14.76,-0.27,-1.79,0.17,-0.05
2017-01-23,14.67,15.09,15.06,14.57,0.39,2.66,0.36,-0.05
2017-01-20,14.43,14.73,14.67,14.43,0.12,0.82,0.1,-0.05
2017-01-19,14.7,14.84,14.55,14.54,-0.29,-1.95,0.1,-0.05
2017-01-18,14.8,15.14,14.84,14.78,0.0,0.0,0.16,-0.05
2017-01-17,14.85,14.97,14.84,14.63,-0.13,-0.87,0.17,-0.05
2017-01-16,15.04,15.2,14.97,14.54,-0.13,-0.86,0.5,-0.05
2017-01-13,14.94,15.12,15.1,14.7,0.14,0.94,0.24,-0.05
2017-01-12,15.14,15.14,14.96,14.7,-0.21,-1.38,0.26,-0.05
2017-01-11,15.38,15.38,15.17,15.05,-0.27,-1.75,0.25,-0.05
2017-01-10,15.64,15.64,15.44,15.23,-0.2,-1.28,0.39,-0.05
2017-01-09,15.2,15.69,15.64,15.11,0.42,2.76,0.65,-0.05
2017-01-06,15.45,15.63,15.22,15.13,-0.42,-2.69,0.38,-0.05
2017-01-05,15.45,15.76,15.64,15.36,0.19,1.23,0.58,-0.05
2017-01-04,15.32,15.49,15.45,15.2,0.13,0.85,0.63,-0.05
2017-01-03,15.15,15.36,15.32,15.11,0.04,0.26,0.28,-0.05
2017-03-31,21.3,21.74,21.63,21.3,0.3,1.41,0.8,-0.05
2017-03-30,21.62,21.71,21.33,21.25,-0.37,-1.71,0.8,-0.05
2017-03-29,21.34,21.85,21.7,21.27,0.36,1.69,1.16,-0.05
2017-03-28,21.6,21.66,21.34,21.24,-0.24,-1.11,0.7,-0.05
2017-03-27,21.49,21.88,21.58,21.41,0.12,0.56,0.96,-0.05
2017-03-24,21.41,21.77,21.46,21.28,0.11,0.52,1.2,-0.05
2017-03-23,21.23,21.4,21.35,21.1,0.12,0.56,1.05,-0.05
2017-03-22,21.1,21.44,21.23,21.06,0.02,0.09,1.04,-0.05
2017-03-21,21.12,21.26,21.21,20.98,0.11,0.52,0.75,-0.05
2017-03-20,20.8,21.3,21.1,20.8,0.35,1.69,1.34,-0.05
2017-03-17,20.87,20.98,20.75,20.68,-0.04,-0.19,0.56,-0.05
2017-03-16,20.69,20.8,20.79,20.65,0.16,0.78,0.41,-0.05
2017-03-15,20.58,20.67,20.63,20.51,0.0,0.0,0.2,-0.05
2017-03-14,20.61,20.7,20.63,20.4,-0.01,-0.05,0.42,-0.05
2017-03-13,20.45,20.68,20.64,20.31,0.17,0.83,0.39,-0.05
2017-03-10,20.61,20.67,20.47,20.46,-0.14,-0.68,0.32,-0.05
2017-03-09,20.8,20.9,20.61,20.6,-0.27,-1.29,0.34,-0.05
2017-03-08,20.83,21.0,20.88,20.83,-0.02,-0.1,0.31,-0.05
2017-03-07,21.07,21.07,20.9,20.81,-0.11,-0.52,0.4,-0.05
